Capability,Free site,Premium members,Why it matters
Tool reviews + comparisons,Yes,Yes + full decision matrix CSV,Public is enough for browsing
Scorecards / cost calculator / decision brief,Yes,Yes,Free utilities stay free
Keep/Cut Weekly email,Yes (Beehiiv),Yes,Free newsletter stays free
Instant Stack Audit scorecard,Yes — /stack-audit.html,"Yes, plus the deeper template + written reply",Free tool stays free
Full decision matrix CSV,No,"Yes, refreshed from official labels",Monthly stack decisions
AI Stack Audit Template + 48h strategy reply,No,Yes,Turns inventory into keep/cut
Weekly checklist + 30-day calendar,No,Yes,Habit beats one-off cleanup
Hands-on protocol + ROI worksheet,Partial,Yes — your numbers only,Identical-task testing
Priority research slots,No,First 5 complete requests/month,Member research queue
Implementation / account access,Never,Never,Scope boundary on purpose
