date,tool,kind,summary,source,month
2026-09-03,GPT-6 Astra (OpenAI),Vendor launch,"Official Path to Astra post (2026-09-01, still the primary openai.com page on this 2026-09-03 check): first model designated at Critical cybersecurity capability under the Preparedness Framework. Advanced cyber workflows limited at launch to trusted testers / Daybreak Blue. Axios: initial access for limited Daybreak organizations, then ChatGPT Plus / Pro / Business / Enterprise and API developers in the coming days. OpenAI customer stories dated 2026-09-03 use the name GPT-6 Astra. Greg Brockman called it a generational leap. AGI remarks are not treated as fact. Plus/Pro plan prices were not confirmed as changed; not a new ChatGPT SKU.",https://openai.com/index/path-to-astra/,September 2026
2026-09-03,ChatGPT,Watch / re-check,"GPT-6 Astra is a limited roll-out onto existing ChatGPT paid tiers and the API, not a new SKU and not a confirmed price change. Do not add a ChatGPT seat because Astra shipped. Re-check openai.com/chatgpt/pricing before renewing; Plus/Pro dollar prices were not re-verified as changed on 2026-09-03. Advanced cyber access is gated separately.",https://openai.com/index/path-to-astra/,September 2026
2026-09-02,Catch,New listing,"Official homepage and /security (checked 2026-09-02) advertise $99/month billed monthly, cancel anytime, 10-day free trial. Same homepage still shows Closed Beta — Limited Spots. /pricing 404. Mailbox/calendar/phone access is required for the advertised jobs. Named testimonials are vendor-supplied.",https://www.catchagent.ai/,September 2026
2026-09-02,Lily (Perplexity),Vendor launch,"Official blog (checked 2026-09-02): lightweight local inference engine built specifically for Apple silicon and Qwen3.6-35B-A3B so on-device compute does not bottleneck Hybrid Compute / Perplexity Computer tasks. Rust runtime; OpenAI-compatible chat-completions API; custom Metal kernels; neither PyTorch nor MLX in the execution path; standalone demo on GitHub. Official pplx-garden README names the demo at github.com/perplexityai/pplx-garden (lily/), Apache-2.0, greedy generation for the Qwen3.6-35B-A3B MLX affine 4-bit checkpoint, Apple GPU family 10+ (M5 and newer). Not a Perplexity paid plan SKU. Vendor-published throughput figures were not independently reproduced. Perplexity consumer plan dollar prices were not re-verified on this date.",https://www.perplexity.ai/hub/blog/optimizing-on-device-inference-for-apple-silicon,September 2026
2026-09-02,Perplexity,Watch / re-check,"Lily is an open-source local engine for Computer hybrid compute, not a new Pro/Max SKU. Do not add a paid Perplexity seat because Lily shipped. Re-check official plan pages before renewing; consumer dollar prices were not re-verified on 2026-09-02.",https://www.perplexity.ai/hub/blog/optimizing-on-device-inference-for-apple-silicon,September 2026
2026-09-01,Atlas (World Labs),Vendor launch,"Official blog (checked 2026-09-01): next-gen omni world model pretrained from scratch on text, images, video, and 3D. Multimodal autoregressive diffusion transformer with spatial context. Camera-controlled generation up to 1 minute at 1440p; spatial reconstruction from 1–dozens of images with explicit 3D (point clouds, 3D Gaussian splats); space-time simulation including video reframing and Real-to-Sim for robotics; also text-to-image and 360 panoramas. Will power future versions of Marble. Early access with select partners — request access on the blog. No public self-serve plan prices published.",https://www.worldlabs.ai/blog/atlas,September 2026
2026-08-27,HtmlSlides,New listing,Vendor submission. Interactive HTML decks. Test against Gamma before adding a paid seat.,/updates/,August 2026
2026-08-27,Whop CLI,New listing,"Terminal/agent control for Whop products, plans, and checkout. Relevant if you sell on Whop.",/updates/,August 2026
2026-08-27,Grok,Watch / re-check,Model lineup panel last checked 2026-08-26. Confirm current Grok 4.6 / Grok Build names on X before you pay for SuperGrok as a second assistant.,/change-radar/,August 2026
2026-08-27,Cursor,Watch / re-check,Composer / model options move quickly. Re-run one real coding task before renewing Pro if you also pay Copilot or Claude.,/change-radar/,August 2026
2026-08-27,ChatGPT,Watch / re-check,Lineup recorded as GPT-5.4 family as of 2026-08-26. Verify openai.com/pricing before annual.,/change-radar/,August 2026
2026-08-27,Claude,Watch / re-check,Sonnet/Opus point releases plus Claude Code as a coding surface. Do not assume the chat plan and the coding workflow are the same job.,/change-radar/,August 2026
